question_clean,qtype,source,focus_area
what causes problems with smell,causes,NIHSeniorHealth,Problems with Smell
what are the symptoms of problems with smell,symptoms,NIHSeniorHealth,Problems with Smell
what are the treatments for problems with smell,treatment,NIHSeniorHealth,Problems with Smell
how to prevent problems with smell,prevention,NIHSeniorHealth,Problems with Smell
how to diagnose problems with smell,diagnosis,NIHSeniorHealth,Problems with Smell
what research or clinical trials is being done for problems with smell,definition,NIHSeniorHealth,Problems with Smell
what is breast cancer,definition,NIHSeniorHealth,Breast Cancer
who is at risk for breast cancer,definition,NIHSeniorHealth,Breast Cancer
how to diagnose breast cancer,diagnosis,NIHSeniorHealth,Breast Cancer
what are the treatments for breast cancer,treatment,NIHSeniorHealth,Breast Cancer
what research or clinical trials is being done for breast cancer,definition,NIHSeniorHealth,Breast Cancer
what are the symptoms of breast cancer,symptoms,NIHSeniorHealth,Breast Cancer
how to prevent breast cancer,prevention,NIHSeniorHealth,Breast Cancer
what is colorectal cancer,definition,NIHSeniorHealth,Colorectal Cancer
who is at risk for colorectal cancer,definition,NIHSeniorHealth,Colorectal Cancer
what are the symptoms of colorectal cancer,symptoms,NIHSeniorHealth,Colorectal Cancer
what are the treatments for colorectal cancer,treatment,NIHSeniorHealth,Colorectal Cancer
what research or clinical trials is being done for colorectal cancer,definition,NIHSeniorHealth,Colorectal Cancer
how many people are affected by colorectal cancer,epidemiology,NIHSeniorHealth,Colorectal Cancer
how to prevent colorectal cancer,prevention,NIHSeniorHealth,Colorectal Cancer
what is parkinsons disease,definition,NIHSeniorHealth,Parkinson's Disease
what causes parkinsons disease,causes,NIHSeniorHealth,Parkinson's Disease
what are the symptoms of parkinsons disease,symptoms,NIHSeniorHealth,Parkinson's Disease
what are the treatments for parkinsons disease,treatment,NIHSeniorHealth,Parkinson's Disease
what research or clinical trials is being done for parkinsons disease,definition,NIHSeniorHealth,Parkinson's Disease
who is at risk for parkinsons disease,definition,NIHSeniorHealth,Parkinson's Disease
how to diagnose parkinsons disease,diagnosis,NIHSeniorHealth,Parkinson's Disease
what is leukemia,definition,NIHSeniorHealth,Leukemia
who is at risk for leukemia,definition,NIHSeniorHealth,Leukemia
what are the symptoms of leukemia,symptoms,NIHSeniorHealth,Leukemia
what are the treatments for leukemia,treatment,NIHSeniorHealth,Leukemia
what research or clinical trials is being done for leukemia,definition,NIHSeniorHealth,Leukemia
how to diagnose leukemia,diagnosis,NIHSeniorHealth,Leukemia
what is lung cancer,definition,NIHSeniorHealth,Lung Cancer
what causes lung cancer,causes,NIHSeniorHealth,Lung Cancer
what are the symptoms of lung cancer,symptoms,NIHSeniorHealth,Lung Cancer
what are the treatments for lung cancer,treatment,NIHSeniorHealth,Lung Cancer
what research or clinical trials is being done for lung cancer,definition,NIHSeniorHealth,Lung Cancer
who is at risk for lung cancer,definition,NIHSeniorHealth,Lung Cancer
how to diagnose lung cancer,diagnosis,NIHSeniorHealth,Lung Cancer
what is urinary incontinence,definition,NIHSeniorHealth,Urinary Incontinence
what causes urinary incontinence,causes,NIHSeniorHealth,Urinary Incontinence
how to diagnose urinary incontinence,diagnosis,NIHSeniorHealth,Urinary Incontinence
what are the treatments for urinary incontinence,treatment,NIHSeniorHealth,Urinary Incontinence
what is stroke,definition,NIHSeniorHealth,Stroke
what are the symptoms of stroke,symptoms,NIHSeniorHealth,Stroke
who is at risk for stroke,definition,NIHSeniorHealth,Stroke
how to prevent stroke,prevention,NIHSeniorHealth,Stroke
what research or clinical trials is being done for stroke,definition,NIHSeniorHealth,Stroke
how to diagnose stroke,diagnosis,NIHSeniorHealth,Stroke
what are the treatments for stroke,treatment,NIHSeniorHealth,Stroke
what is psoriasis,definition,NIHSeniorHealth,Psoriasis
what causes psoriasis,causes,NIHSeniorHealth,Psoriasis
what are the symptoms of psoriasis,symptoms,NIHSeniorHealth,Psoriasis
what are the treatments for psoriasis,treatment,NIHSeniorHealth,Psoriasis
what research or clinical trials is being done for psoriasis,definition,NIHSeniorHealth,Psoriasis
how to diagnose psoriasis,diagnosis,NIHSeniorHealth,Psoriasis
what is high blood cholesterol,definition,NIHSeniorHealth,High Blood Cholesterol
what causes high blood cholesterol,causes,NIHSeniorHealth,High Blood Cholesterol
what are the symptoms of high blood cholesterol,symptoms,NIHSeniorHealth,High Blood Cholesterol
how to diagnose high blood cholesterol,diagnosis,NIHSeniorHealth,High Blood Cholesterol
what are the treatments for high blood cholesterol,treatment,NIHSeniorHealth,High Blood Cholesterol
what is peripheral arterial disease pad,definition,NIHSeniorHealth,Peripheral Arterial Disease (P.A.D.)
how to prevent peripheral arterial disease pad,prevention,NIHSeniorHealth,Peripheral Arterial Disease (P.A.D.)
what are the symptoms of peripheral arterial disease pad,symptoms,NIHSeniorHealth,Peripheral Arterial Disease (P.A.D.)
how to diagnose peripheral arterial disease pad,diagnosis,NIHSeniorHealth,Peripheral Arterial Disease (P.A.D.)
what causes peripheral arterial disease pad,causes,NIHSeniorHealth,Peripheral Arterial Disease (P.A.D.)
who is at risk for peripheral arterial disease pad,definition,NIHSeniorHealth,Peripheral Arterial Disease (P.A.D.)
what are the treatments for peripheral arterial disease pad,treatment,NIHSeniorHealth,Peripheral Arterial Disease (P.A.D.)
what research or clinical trials is being done for peripheral arterial disease pad,definition,NIHSeniorHealth,Peripheral Arterial Disease (P.A.D.)
how to prevent prescription and illicit drug abuse,prevention,NIHSeniorHealth,Prescription and Illicit Drug Abuse
what is prescription and illicit drug abuse,definition,NIHSeniorHealth,Prescription and Illicit Drug Abuse
what are the symptoms of prescription and illicit drug abuse,symptoms,NIHSeniorHealth,Prescription and Illicit Drug Abuse
what causes prescription and illicit drug abuse,causes,NIHSeniorHealth,Prescription and Illicit Drug Abuse
what are the treatments for prescription and illicit drug abuse,treatment,NIHSeniorHealth,Prescription and Illicit Drug Abuse
what is cataract,definition,NIHSeniorHealth,Cataract
who is at risk for cataract,definition,NIHSeniorHealth,Cataract
what are the symptoms of cataract,symptoms,NIHSeniorHealth,Cataract
what are the treatments for cataract,treatment,NIHSeniorHealth,Cataract
who is at risk for creating a family health history,definition,NIHSeniorHealth,Creating a Family Health History
what is creating a family health history,definition,NIHSeniorHealth,Creating a Family Health History
what causes creating a family health history,causes,NIHSeniorHealth,Creating a Family Health History
how to prevent creating a family health history,prevention,NIHSeniorHealth,Creating a Family Health History
how to diagnose creating a family health history,diagnosis,NIHSeniorHealth,Creating a Family Health History
what is shingles,definition,NIHSeniorHealth,Shingles
what causes shingles,causes,NIHSeniorHealth,Shingles
how to prevent shingles,prevention,NIHSeniorHealth,Shingles
what are the symptoms of shingles,symptoms,NIHSeniorHealth,Shingles
what are the treatments for shingles,treatment,NIHSeniorHealth,Shingles
who is at risk for shingles,definition,NIHSeniorHealth,Shingles
how to diagnose shingles,diagnosis,NIHSeniorHealth,Shingles
what are the complications of shingles,definition,NIHSeniorHealth,Shingles
what is heart attack,definition,NIHSeniorHealth,Heart Attack
what are the symptoms of heart attack,symptoms,NIHSeniorHealth,Heart Attack
what causes heart attack,causes,NIHSeniorHealth,Heart Attack
who is at risk for heart attack,definition,NIHSeniorHealth,Heart Attack
how to diagnose heart attack,diagnosis,NIHSeniorHealth,Heart Attack
what are the treatments for heart attack,treatment,NIHSeniorHealth,Heart Attack
how many people are affected by heart attack,epidemiology,NIHSeniorHealth,Heart Attack
what is skin cancer,definition,NIHSeniorHealth,Skin Cancer
what causes skin cancer,causes,NIHSeniorHealth,Skin Cancer
what are the symptoms of skin cancer,symptoms,NIHSeniorHealth,Skin Cancer
how to diagnose skin cancer,diagnosis,NIHSeniorHealth,Skin Cancer
what are the treatments for skin cancer,treatment,NIHSeniorHealth,Skin Cancer
what research or clinical trials is being done for skin cancer,definition,NIHSeniorHealth,Skin Cancer
who is at risk for skin cancer,definition,NIHSeniorHealth,Skin Cancer
how to diagnose surviving cancer,diagnosis,NIHSeniorHealth,Surviving Cancer
what is surviving cancer,definition,NIHSeniorHealth,Surviving Cancer
what are the treatments for surviving cancer,treatment,NIHSeniorHealth,Surviving Cancer
what are the symptoms of surviving cancer,symptoms,NIHSeniorHealth,Surviving Cancer
what is gout,definition,NIHSeniorHealth,Gout
what causes gout,causes,NIHSeniorHealth,Gout
what are the symptoms of gout,symptoms,NIHSeniorHealth,Gout
what are the treatments for gout,treatment,NIHSeniorHealth,Gout
what research or clinical trials is being done for gout,definition,NIHSeniorHealth,Gout
who is at risk for gout,definition,NIHSeniorHealth,Gout
how to diagnose gout,diagnosis,NIHSeniorHealth,Gout
how to diagnose alzheimers caregiving,diagnosis,NIHSeniorHealth,Alzheimer's Caregiving
what to do for alzheimers caregiving,definition,NIHSeniorHealth,Alzheimer's Caregiving
what is alzheimers caregiving,definition,NIHSeniorHealth,Alzheimer's Caregiving
what are the treatments for alzheimers caregiving,treatment,NIHSeniorHealth,Alzheimer's Caregiving
what is dry eye,definition,NIHSeniorHealth,Dry Eye
what causes dry eye,causes,NIHSeniorHealth,Dry Eye
what are the symptoms of dry eye,symptoms,NIHSeniorHealth,Dry Eye
what are the treatments for dry eye,treatment,NIHSeniorHealth,Dry Eye
how to diagnose dry eye,diagnosis,NIHSeniorHealth,Dry Eye
what is gum periodontal disease,definition,NIHSeniorHealth,Gum (Periodontal) Disease
how to prevent gum periodontal disease,prevention,NIHSeniorHealth,Gum (Periodontal) Disease
what are the symptoms of gum periodontal disease,symptoms,NIHSeniorHealth,Gum (Periodontal) Disease
what are the treatments for gum periodontal disease,treatment,NIHSeniorHealth,Gum (Periodontal) Disease
what causes gum periodontal disease,causes,NIHSeniorHealth,Gum (Periodontal) Disease
who is at risk for gum periodontal disease,definition,NIHSeniorHealth,Gum (Periodontal) Disease
how to diagnose gum periodontal disease,diagnosis,NIHSeniorHealth,Gum (Periodontal) Disease
what is heart failure,definition,NIHSeniorHealth,Heart Failure
what causes heart failure,causes,NIHSeniorHealth,Heart Failure
who is at risk for heart failure,definition,NIHSeniorHealth,Heart Failure
what are the symptoms of heart failure,symptoms,NIHSeniorHealth,Heart Failure
how to diagnose heart failure,diagnosis,NIHSeniorHealth,Heart Failure
what are the treatments for heart failure,treatment,NIHSeniorHealth,Heart Failure
how many people are affected by heart failure,epidemiology,NIHSeniorHealth,Heart Failure
how to prevent heart failure,prevention,NIHSeniorHealth,Heart Failure
what is the outlook for breast cancer,prognosis,CancerGov,Breast Cancer
what are the stages of breast cancer,definition,CancerGov,Breast Cancer
what is hairy cell leukemia,definition,CancerGov,Hairy Cell Leukemia
who is at risk for hairy cell leukemia,definition,CancerGov,Hairy Cell Leukemia
what are the symptoms of hairy cell leukemia,symptoms,CancerGov,Hairy Cell Leukemia
how to diagnose hairy cell leukemia,diagnosis,CancerGov,Hairy Cell Leukemia
what is the outlook for hairy cell leukemia,prognosis,CancerGov,Hairy Cell Leukemia
what are the stages of hairy cell leukemia,definition,CancerGov,Hairy Cell Leukemia
what research or clinical trials is being done for hairy cell leukemia,definition,CancerGov,Hairy Cell Leukemia
what are the treatments for hairy cell leukemia,treatment,CancerGov,Hairy Cell Leukemia
what is vulvar cancer,definition,CancerGov,Vulvar Cancer
what are the symptoms of vulvar cancer,symptoms,CancerGov,Vulvar Cancer
how to diagnose vulvar cancer,diagnosis,CancerGov,Vulvar Cancer
what is the outlook for vulvar cancer,prognosis,CancerGov,Vulvar Cancer
what are the stages of vulvar cancer,definition,CancerGov,Vulvar Cancer
what research or clinical trials is being done for vulvar cancer,definition,CancerGov,Vulvar Cancer
what are the treatments for vulvar cancer,treatment,CancerGov,Vulvar Cancer
what is gallbladder cancer,definition,CancerGov,Gallbladder Cancer
who is at risk for gallbladder cancer,definition,CancerGov,Gallbladder Cancer
what are the symptoms of gallbladder cancer,symptoms,CancerGov,Gallbladder Cancer
how to diagnose gallbladder cancer,diagnosis,CancerGov,Gallbladder Cancer
what is the outlook for gallbladder cancer,prognosis,CancerGov,Gallbladder Cancer
what are the stages of gallbladder cancer,definition,CancerGov,Gallbladder Cancer
what are the treatments for gallbladder cancer,treatment,CancerGov,Gallbladder Cancer
what research or clinical trials is being done for gallbladder cancer,definition,CancerGov,Gallbladder Cancer
what is atypical chronic myelogenous leukemia,definition,CancerGov,Atypical Chronic Myelogenous Leukemia
what are the symptoms of atypical chronic myelogenous leukemia,symptoms,CancerGov,Atypical Chronic Myelogenous Leukemia
what is the outlook for atypical chronic myelogenous leukemia,prognosis,CancerGov,Atypical Chronic Myelogenous Leukemia
what are the treatments for atypical chronic myelogenous leukemia,treatment,CancerGov,Atypical Chronic Myelogenous Leukemia
what is myelodysplastic myeloproliferative neoplasms,definition,CancerGov,Myelodysplastic/ Myeloproliferative Neoplasms
how to diagnose myelodysplastic myeloproliferative neoplasms,diagnosis,CancerGov,Myelodysplastic/ Myeloproliferative Neoplasms
what are the stages of myelodysplastic myeloproliferative neoplasms,definition,CancerGov,Myelodysplastic/ Myeloproliferative Neoplasms
what are the treatments for myelodysplastic myeloproliferative neoplasms,treatment,CancerGov,Myelodysplastic/ Myeloproliferative Neoplasms
how to prevent skin cancer,prevention,CancerGov,Skin Cancer
what is adult acute myeloid leukemia,definition,CancerGov,Adult Acute Myeloid Leukemia
who is at risk for adult acute myeloid leukemia,definition,CancerGov,Adult Acute Myeloid Leukemia
what are the symptoms of adult acute myeloid leukemia,symptoms,CancerGov,Adult Acute Myeloid Leukemia
how to diagnose adult acute myeloid leukemia,diagnosis,CancerGov,Adult Acute Myeloid Leukemia
what is the outlook for adult acute myeloid leukemia,prognosis,CancerGov,Adult Acute Myeloid Leukemia
what are the stages of adult acute myeloid leukemia,definition,CancerGov,Adult Acute Myeloid Leukemia
what are the treatments for adult acute myeloid leukemia,treatment,CancerGov,Adult Acute Myeloid Leukemia
what research or clinical trials is being done for adult acute myeloid leukemia,definition,CancerGov,Adult Acute Myeloid Leukemia
what is childhood soft tissue sarcoma,definition,CancerGov,Childhood Soft Tissue Sarcoma
who is at risk for childhood soft tissue sarcoma,definition,CancerGov,Childhood Soft Tissue Sarcoma
what are the symptoms of childhood soft tissue sarcoma,symptoms,CancerGov,Childhood Soft Tissue Sarcoma
how to diagnose childhood soft tissue sarcoma,diagnosis,CancerGov,Childhood Soft Tissue Sarcoma
what is the outlook for childhood soft tissue sarcoma,prognosis,CancerGov,Childhood Soft Tissue Sarcoma
what are the stages of childhood soft tissue sarcoma,definition,CancerGov,Childhood Soft Tissue Sarcoma
what research or clinical trials is being done for childhood soft tissue sarcoma,definition,CancerGov,Childhood Soft Tissue Sarcoma
what are the treatments for childhood soft tissue sarcoma,treatment,CancerGov,Childhood Soft Tissue Sarcoma
what is thymoma and thymic carcinoma,definition,CancerGov,Thymoma and Thymic Carcinoma
what are the symptoms of thymoma and thymic carcinoma,symptoms,CancerGov,Thymoma and Thymic Carcinoma
how to diagnose thymoma and thymic carcinoma,diagnosis,CancerGov,Thymoma and Thymic Carcinoma
what is the outlook for thymoma and thymic carcinoma,prognosis,CancerGov,Thymoma and Thymic Carcinoma
what are the stages of thymoma and thymic carcinoma,definition,CancerGov,Thymoma and Thymic Carcinoma
what research or clinical trials is being done for thymoma and thymic carcinoma,definition,CancerGov,Thymoma and Thymic Carcinoma
what are the treatments for thymoma and thymic carcinoma,treatment,CancerGov,Thymoma and Thymic Carcinoma
what is wilms tumor and other childhood kidney tumors,definition,CancerGov,Wilms Tumor and Other Childhood Kidney Tumors
who is at risk for wilms tumor and other childhood kidney tumors,definition,CancerGov,Wilms Tumor and Other Childhood Kidney Tumors
what are the symptoms of wilms tumor and other childhood kidney tumors,symptoms,CancerGov,Wilms Tumor and Other Childhood Kidney Tumors
how to diagnose wilms tumor and other childhood kidney tumors,diagnosis,CancerGov,Wilms Tumor and Other Childhood Kidney Tumors
what is the outlook for wilms tumor and other childhood kidney tumors,prognosis,CancerGov,Wilms Tumor and Other Childhood Kidney Tumors
what are the stages of wilms tumor and other childhood kidney tumors,definition,CancerGov,Wilms Tumor and Other Childhood Kidney Tumors
what are the treatments for wilms tumor and other childhood kidney tumors,treatment,CancerGov,Wilms Tumor and Other Childhood Kidney Tumors
what research or clinical trials is being done for wilms tumor and other childhood kidney tumors,definition,CancerGov,Wilms Tumor and Other Childhood Kidney Tumors
what is anal cancer,definition,CancerGov,Anal Cancer
who is at risk for anal cancer,definition,CancerGov,Anal Cancer
what are the symptoms of anal cancer,symptoms,CancerGov,Anal Cancer
how to diagnose anal cancer,diagnosis,CancerGov,Anal Cancer
what is the outlook for anal cancer,prognosis,CancerGov,Anal Cancer
what are the stages of anal cancer,definition,CancerGov,Anal Cancer
what research or clinical trials is being done for anal cancer,definition,CancerGov,Anal Cancer
what are the treatments for anal cancer,treatment,CancerGov,Anal Cancer
what is childhood extracranial germ cell tumors,definition,CancerGov,Childhood Extracranial Germ Cell Tumors
what causes childhood extracranial germ cell tumors,causes,CancerGov,Childhood Extracranial Germ Cell Tumors
who is at risk for childhood extracranial germ cell tumors,definition,CancerGov,Childhood Extracranial Germ Cell Tumors
